ts	elapsed	rss_kb	threads	fds	tcp_est	crawled_bytes	discovered_bytes	disk_free_mb	rss_kb_0	rss_kb_1
1789627333	4500	4221516	201	92031	17811	7229183	97768137	91183	2059268	2162248
1789627364	4531	4275492	201	91323	16955	7293024	98710905	91183	2117740	2157752
1789627394	4561	4209576	201	90121	15371	7332740	99313122	91180	2059460	2150116
1789627425	4592	4220104	201	89776	16370	7397134	99840899	91189	2059116	2160988
1789627455	4622	4225712	201	89907	16802	7458596	100339133	91185	2054592	2171120
1789627486	4653	4208400	201	90369	16568	7518248	101005129	91181	2048200	2160200
1789627516	4683	4223964	201	91235	17345	7557785	101572803	91174	2064108	2159856
1789627546	4713	4224876	201	89308	15797	7631506	102052991	91168	2072324	2152552
1789627577	4744	4207844	201	89304	16545	7700277	102696522	91154	2056756	2151088
1789627607	4774	4244056	201	89158	16201	7744896	103288622	91145	2075900	2168156
1789627638	4805	4255800	201	90518	17565	7812498	103822608	91139	2045528	2210272
1789627668	4835	4251904	201	90214	17170	7854996	104449625	91128	2070824	2181080
1789627699	4866	4268652	201	89563	16603	7924095	105336657	91123	2057416	2211236
1789627729	4896	4248644	201	89979	17232	7966384	105974831	91112	2070912	2177732
1789627759	4926	4254104	201	90184	16503	8041084	106689639	91113	2070016	2184088
1789627790	4957	4345920	201	89936	16820	8081273	107200908	91113	2111972	2233948
1789627820	4987	4259116	201	89932	17336	8123155	107800565	91114	2055172	2203944
1789627851	5018	4262152	201	89410	16140	8216456	108479720	91115	2078800	2183352
1789627882	5049	4274800	201	90477	17966	8258313	108968899	91117	2049664	2225136
1789627912	5079	4264556	201	90439	17858	8351105	109552877	91121	2061216	2203340
1789627943	5110	4284948	201	89510	17975	8391562	110056400	91129	2063092	2221856
1789627973	5140	4310808	201	90621	17614	8459871	110691239	91121	2084292	2226516
1789628004	5171	4276380	201	90559	18206	8524612	111469672	91120	2084820	2191560
1789628034	5201	4281488	201	89703	17122	8591352	112076118	91122	2099372	2182116
1789628064	5231	4306392	201	90278	17133	8656349	112613254	91126	2126452	2179940
1789628095	5262	4283848	201	89469	17586	8706028	113084789	91062	2104360	2179488
1789628126	5293	4265304	201	88799	13999	8768281	113765190	91138	2088212	2177092
1789628156	5323	4287728	201	86778	14685	8817421	114207258	91143	2110652	2177076
1789628187	5354	4278604	201	89108	15893	8886187	114865654	91141	2101760	2176844
1789628217	5384	4288752	201	89182	15153	8957739	115394085	91131	2102264	2186488
1789628247	5414	4304132	201	89096	15812	9043913	116004789	91132	2104692	2199440
1789628278	5445	4278868	201	88819	15003	9068903	116493051	91140	2098448	2180420
1789628308	5475	4280768	201	88350	15352	9140289	117086427	91139	2104836	2175932
1789628338	5505	4308076	201	88691	15623	9184373	117530191	91129	2100148	2207928
1789628369	5536	4282604	201	89150	16269	9258979	118202358	91126	2106380	2176224
1789628399	5566	4319492	201	89345	15830	9301959	118759029	91109	2119588	2199904
1789628429	5596	4331088	201	89641	17231	9343835	119248732	91097	2141480	2189608
1789628460	5627	4347100	201	89068	16463	9412895	119919303	91096	2143320	2203780
1789628490	5657	4318884	201	89406	16922	9479463	120563590	91082	2128940	2189944
1789628521	5688	4332956	201	88747	16536	9545265	121205296	91066	2139328	2193628
1789628551	5718	4314788	201	89410	17370	9611509	121775641	91067	2127688	2187100
1789628582	5749	4306312	201	88072	16108	9674819	122435273	91052	2112536	2193776
1789628612	5779	4315008	201	89993	17814	9715323	122899685	91045	2108920	2206088
1789628643	5810	4301628	201	89850	17625	9764586	123518787	91045	2112588	2189040
