ts	elapsed	proc_cpu_pct	main_cpu_pct	lag_max_ms	lag_p50_ms	dl_active	dl_slots	dl_transferring	scraper_queued	scraper_active_kb	gc_max_ms	gc_total_ms	frontier	pqueues	robots_cached	robots_inflight	dns_cached	crawled	discovered	dupe_skipped	rss_mb	requests	responses	exceptions
1789624551	1717	94.0	93.6	6471	3757	3232	7350	796	0	19169	2930	10196	1712099	40000	49998	1391	61267	45693	1960799	1126911	1930	152907	116455	66719
1789624580	1746	93.5	92.5	5914	1597	3063	10026	1269	0	19031	2908	7349	1727447	40000	50000	1242	62491	46080	1991880	1139236	1938	156559	118557	69244
1789624609	1775	94.0	93.8	6956	4655	4041	7596	564	0	21298	2831	6824	1746891	39684	50000	1500	62600	46756	2026252	1160653	1939	159471	120070	70273
1789624637	1802	94.7	93.8	4283	2438	2706	9043	847	0	42509	2831	7248	1757039	39517	50000	1065	63844	47258	2037763	1185150	1962	161757	122693	71784
1789624667	1833	97.0	96.5	6453	3352	1700	6331	21	0	26121	2923	7119	1787315	40000	50000	801	64240	48126	2078061	1212489	1954	163320	123831	73161
1789624695	1861	92.7	91.7	7768	1893	2379	8742	921	0	7628	3602	7950	1801336	39913	50000	961	65254	48510	2095562	1226149	1936	166622	125405	75489
1789624730	1896	95.5	93.9	6331	2146	2600	8072	811	0	24354	3237	11284	1818602	40000	50000	1253	65977	49341	2120662	1246424	1935	169635	127554	77459
1789624760	1925	94.8	94.0	7370	1476	2698	10111	705	0	13805	3123	8039	1830440	40000	49996	1189	67083	50045	2142863	1261246	1931	172770	129397	79554
1789624786	1952	94.1	93.0	5841	2238	2982	8094	1196	0	14015	3216	8100	1842223	39923	50000	1184	67822	50744	2158084	1278492	1934	175728	131177	81373
1789624817	1983	96.5	95.7	5350	2306	2721	10237	936	0	26438	3289	8490	1858676	40000	50000	1102	69104	51558	2178770	1297511	1921	179052	133466	83005
1789624846	2012	96.5	95.7	4570	1916	3009	8336	885	0	18982	3143	8012	1872101	40000	49986	1211	70105	52317	2198096	1315833	1917	182145	135681	84772
1789624881	2047	97.1	96.3	5649	2365	3185	10612	1801	0	13000	3336	11208	1891711	40000	50000	985	70563	53231	2227264	1345346	1907	185433	137509	86265
1789624913	2078	97.5	96.8	7366	1882	1946	7684	536	0	41865	3365	8338	1911162	39735	50000	1021	71640	54058	2251974	1371237	1936	187827	140017	88406
1789624941	2106	97.1	96.4	8077	3436	3499	9583	941	0	16856	3160	7797	1929123	39914	49963	1450	72368	54736	2277238	1391975	1923	190862	141809	89547
1789624968	2134	96.1	95.7	7477	1924	3649	7728	743	0	6837	3189	7536	1942359	39739	50000	1551	72841	55506	2304604	1411104	1908	193761	143398	90835
1789624996	2162	97.3	96.0	6989	1637	2978	8885	1073	0	22063	3477	8292	1958540	39825	50000	1214	73815	56046	2325059	1428089	1904	195887	145678	92033
1789625027	2193	97.7	97.3	7159	2896	2745	7035	1184	0	12212	3226	8159	1982821	39988	49971	1234	74462	56955	2361057	1450864	1917	198391	147171	94022
1789625060	2226	96.7	95.8	6853	1527	3478	9824	1630	0	27658	3298	11536	1992256	40000	50000	1273	75305	57602	2374107	1475269	1927	202581	149597	96019
1789625089	2255	90.7	90.2	6026	2253	3572	8346	1582	0	33705	3246	4844	2003402	39434	50000	1480	76248	58423	2400681	1497932	1971	205169	151409	97468
1789625116	2282	89.6	89.2	7717	4066	2807	9744	1273	0	34757	3411	7604	2019179	39488	49806	1264	76785	59115	2417733	1526206	1955	207220	152998	99253
1789625149	2315	95.5	95.3	6852	3054	1885	7273	107	0	66748	3161	7605	2041172	40000	50000	1154	77280	60063	2442697	1573077	2020	209702	156033	99995
1789625177	2343	95.7	95.2	8632	5362	2848	8995	38	0	35179	3392	7687	2064575	40000	49860	1442	78053	60747	2472439	1602407	1984	212149	157142	101088
1789625207	2373	95.2	94.6	7193	2050	3280	7724	1013	0	17396	3527	8381	2078077	39826	49989	1256	78632	61337	2493107	1636916	1972	215791	158970	103738
1789625239	2405	95.9	95.9	7425	3789	4180	9894	438	0	3538	3341	8023	2096766	39115	49933	1712	78777	62252	2534049	1670284	1965	218711	160634	105132
1789625268	2434	96.7	95.8	4791	1988	2292	7307	428	0	57123	3372	8055	2108703	40000	50000	1045	80035	62722	2547879	1699003	2007	220812	163865	106130
1789625301	2467	96.6	96.3	7515	2223	2720	8887	559	0	44507	3385	7892	2128767	40000	50000	1183	80525	63644	2588092	1726904	2000	223116	165503	106918
1789625334	2500	95.9	95.5	7242	4188	1972	6405	194	0	60720	3289	8111	2153313	40000	49968	1356	81159	64666	2623281	1760039	2023	225600	168366	107558
1789625368	2533	96.6	95.7	9834	2884	1600	7743	154	0	68194	3652	8508	2178860	40000	50000	1014	81582	65600	2661838	1786135	2056	228101	170468	108151
1789625389	2555	93.7	93.1	8564	4190	2138	5571	442	0	36426	3578	4635	2193459	40000	50000	1300	82196	66222	2679274	1806414	2026	230206	172138	109043
1789625419	2585	93.6	93.2	6853	3237	3821	7477	807	0	15549	3700	8580	2205523	40000	49924	1654	82845	67283	2702136	1832960	2019	233411	173968	110172
1789625445	2611	94.6	93.6	6590	2005	3552	6868	1566	0	2142	3538	8397	2214095	39611	50000	1306	83978	67999	2716907	1848900	2012	236710	175812	111635
1789625477	2642	94.5	94.1	7308	2183	2672	8686	520	0	52718	3541	8632	2229615	40000	50000	1425	84636	68744	2736933	1872002	2054	239403	179091	112694
1789625508	2673	94.6	94.2	8604	3580	1925	7225	212	0	49725	3698	8744	2244430	40000	50000	1024	85141	69928	2764333	1904351	2056	241866	180994	113931
1789625538	2704	93.3	92.7	7575	2750	3738	10126	1931	0	11274	3554	8530	2258976	39671	50000	1466	85603	70783	2783674	1935249	2027	246071	183008	115448
1789625569	2735	94.4	94.0	8884	2248	3992	7994	2167	0	5567	3840	8866	2274859	39951	49891	1303	86142	71687	2810757	1963630	2031	248935	185436	116319
1789625597	2763	95.0	94.5	6275	2538	3038	9001	1518	0	1319	3868	8888	2292066	39981	50000	935	87047	72393	2834614	1987678	2058	250596	186802	117872
1789625631	2797	94.1	93.7	5566	1814	2765	7187	416	0	38312	3622	8694	2310257	39946	49990	1181	87720	73286	2862835	2017303	2094	253481	189830	118661
1789625659	2825	92.4	92.0	7076	4038	3042	8938	736	0	19469	3705	5019	2332487	40000	50000	1218	88338	74081	2896711	2045978	2080	255924	191090	119920
1789625686	2852	93.2	92.5	6240	2900	3150	7358	1667	0	7579	4097	9486	2344137	39808	50000	1197	88927	74618	2910337	2066729	2068	258903	192563	121983
1789625717	2883	94.1	93.6	7958	2104	2703	9451	708	0	34671	3885	8982	2360081	39988	50000	1403	89907	75278	2931752	2088788	2090	261348	194754	124304
1789625751	2917	94.3	94.0	6474	1859	1824	7441	528	0	38528	3994	9128	2381299	40000	50000	774	90209	76324	2960487	2125894	2102	263970	196589	126037
1789625782	2948	92.2	92.0	8533	2557	3728	9839	655	0	5258	3625	8633	2399055	39983	49938	1026	90704	77035	2983631	2158177	2070	266924	197831	127822
1789625806	2972	95.8	95.1	5886	2113	1708	6696	754	0	9201	3568	4952	2414196	40000	50000	762	91501	77755	3001822	2196305	2083	268756	199371	129381
1789625837	3002	93.7	93.0	5693	1769	2463	9467	669	0	59396	3387	8302	2426686	40000	50000	1091	92434	78152	3019640	2217892	2115	272727	202552	130803
1789625867	3033	95.4	94.9	6469	5462	2958	6824	569	0	24645	3464	8214	2449720	40000	50000	1239	92881	79027	3055071	2248297	2080	274943	203737	132112
1789625902	3067	94.8	94.6	5762	2812	3879	8562	842	0	16374	3634	12268	2460650	39432	49981	1315	93125	79764	3078493	2280927	2084	278022	206088	133382
1789625927	3093	96.2	95.6	8296	3320	1797	6232	1067	0	12922	3413	4690	2478085	40000	50000	529	93931	80668	3098374	2326823	2090	280288	208007	134553
1789625957	3123	94.1	93.2	6227	3322	2178	8212	964	0	21060	3348	8143	2491443	40000	50000	607	94319	81364	3128655	2353010	2085	282755	209578	135895
1789625988	3154	93.1	92.7	6807	3125	3037	7861	1349	0	31412	3865	9332	2501651	39963	50000	1112	95025	82194	3142589	2395301	2093	286114	211410	137805
1789626016	3182	85.2	83.4	9771	3063	3071	9625	1114	0	5030	4025	8921	2515607	40000	50000	1166	95498	82630	3164898	2406107	2084	288141	212140	139903
1789626048	3214	92.6	91.2	9586	1766	3308	8572	888	0	26657	4197	9506	2530373	40000	49932	1555	96032	83347	3191200	2422648	2100	291662	214372	142462
1789626076	3242	94.1	93.3	6249	2892	2208	9909	592	0	34084	3718	8897	2538951	40000	50000	1028	96787	83976	3208578	2437938	2095	294071	216655	143826
1789626107	3273	94.1	93.7	7488	1760	1707	7722	943	0	22429	3703	9008	2554667	40000	50000	615	97621	85118	3230136	2472534	2100	296811	218625	145227
1789626135	3301	90.9	90.4	7951	1807	2561	10498	1681	0	2352	3918	9335	2565443	40000	49995	746	98273	85852	3245442	2495811	2082	300075	219942	147789
1789626170	3336	93.7	93.3	8544	2419	3099	8151	952	0	23445	3745	9182	2582090	40000	49919	1214	99004	86821	3268698	2536479	2092	302682	222060	149146
1789626199	3365	93.2	92.6	5859	2349	2716	10382	942	0	14939	3956	9030	2591069	39668	50000	1156	99732	87452	3281108	2565246	2076	305612	223989	151282
1789626229	3395	92.8	92.2	5776	3491	3827	8411	1715	0	13685	3733	8705	2603942	39959	49850	1569	100030	88295	3305023	2596502	2075	308889	225707	152892
1789626263	3429	94.8	94.5	5882	2191	1350	9387	148	0	83432	3516	8520	2621016	40000	50000	767	100935	89133	3330331	2631180	2129	311281	229186	153738
1789626294	3460	93.4	93.1	10424	3384	3208	6768	1608	0	38239	3451	7861	2643708	40000	49812	1339	101485	89927	3371114	2659839	2085	313588	229887	154379
1789626316	3482	92.0	91.5	9596	1374	2265	8760	329	0	27918	4148	5530	2651964	40000	49941	1271	101844	90324	3384840	2677650	2086	315736	231302	157504
1789626347	3513	93.2	92.4	8705	2629	3534	7605	1365	0	15895	3541	8719	2665011	39823	49894	1342	102290	91186	3403884	2712566	2086	319375	233069	158918
1789626379	3545	94.3	93.9	5204	2517	1989	9279	537	0	58265	3411	8148	2679990	40000	50000	1133	103027	91851	3424890	2740318	2114	321896	235969	160652
1789626410	3576	94.3	94.0	7858	2418	2254	6685	23	0	61239	3465	8479	2699600	40000	50000	1166	103627	92764	3452137	2776933	2114	324160	237622	161379
1789626439	3605	92.7	92.1	6601	3596	2005	8576	474	0	63044	3390	7982	2714503	40000	50000	928	104204	93501	3473544	2820346	2122	326603	239151	163192
1789626467	3633	93.3	92.8	6039	3210	1793	6461	427	0	31101	3412	7946	2730054	40000	50000	884	104661	94134	3496282	2850913	2096	329079	240869	164899
1789626500	3666	91.3	91.1	5526	3164	4612	9688	485	0	3300	3477	7986	2742446	39704	49876	1881	104924	95137	3516326	2904123	2079	333288	242839	166177
1789626526	3692	94.5	93.4	7277	1810	3227	7607	1468	0	12087	3636	8560	2749144	40000	49757	1315	105848	95637	3526937	2929910	2084	335436	244634	168847
1789626558	3723	95.1	95.0	6691	4177	1706	8859	459	0	33218	3452	8131	2763699	40000	50000	929	106401	96584	3545939	2972316	2098	337620	247195	170151
1789626589	3755	91.7	91.3	7849	3071	3929	8059	758	0	12927	3349	8312	2775381	39696	50000	1566	106654	97411	3565875	3012630	2085	341734	249272	171010
1789626617	3783	93.3	92.6	6357	2420	3851	9479	2135	0	4778	3394	7787	2785042	40000	50000	1318	107087	98250	3582932	3047679	2081	344208	251223	171950
1789626646	3812	94.1	93.8	6058	1653	2818	6722	1027	0	48042	3411	8044	2794299	40000	50000	1127	108161	98962	3598239	3073445	2100	346642	254129	172745
1789626677	3843	93.2	92.9	14147	6364	3698	8472	2182	0	24625	3325	7802	2821386	39888	50000	1293	108185	99883	3641553	3094190	2083	349350	255773	173095
1789626707	3873	94.3	94.0	8133	3981	3460	6759	1799	0	1475	3356	8185	2838427	39954	50000	1133	108750	100934	3669604	3125292	2079	351407	257551	174334
1789626741	3907	94.6	94.3	7064	2232	1945	8309	385	0	66305	3423	8527	2853618	40000	50000	966	109615	101907	3695459	3156724	2113	353952	260906	175228
1789626769	3934	95.1	94.7	7060	3790	1972	6953	218	0	33661	3427	7919	2863927	40000	50000	1334	110049	102870	3713271	3191646	2082	356311	263145	176116
1789626799	3964	95.6	95.3	7935	3689	1351	8052	482	0	35600	3360	8136	2878605	40000	50000	435	110238	103914	3742476	3230605	2084	359131	265192	176874
1789626826	3991	96.8	95.5	6042	2481	2499	6505	1202	0	4995	3739	8648	2889354	40000	50000	709	110661	104601	3758449	3256820	2064	362504	267029	178213
1789626857	4023	94.6	94.2	6608	1751	3266	8760	1010	0	29884	3514	8671	2900056	39735	49987	1384	111318	105508	3775638	3295914	2076	365557	269448	179961
1789626894	4059	94.8	94.4	6448	2108	1828	7225	628	0	35666	3464	11891	2917504	40000	50000	698	112007	106500	3804195	3341776	2077	368209	271718	181290
1789626918	4084	87.7	87.3	9899	3050	2538	9147	757	0	40545	3591	4887	2932416	40000	50000	1364	112452	107085	3824086	3369351	2082	370672	273381	182430
1789626946	4111	93.5	93.1	6764	3621	3051	7151	1107	0	8247	3384	8071	2945219	40000	49991	1398	112987	107599	3850970	3389491	2066	373387	275003	183984
1789626976	4142	93.9	93.4	7324	1767	3417	9181	1821	0	38666	3286	8175	2957850	40000	49965	1352	113608	108461	3873670	3422544	2082	376536	277147	184795
1789627007	4173	94.5	94.3	6010	3302	3250	7185	1319	0	59038	3846	8495	2971308	40000	49632	1377	113985	109256	3897335	3455770	2092	379015	279101	186184
1789627036	4202	95.0	94.8	10621	5174	2691	8579	1545	0	40921	3376	7793	2984892	39969	50000	709	114276	110004	3930552	3486849	2097	381475	281309	186843
1789627068	4234	93.5	93.2	9428	5779	4557	7826	2409	0	1434	3218	7444	2998869	39803	49623	1881	114281	111290	3961371	3549417	2068	384159	282908	187544
1789627096	4261	97.2	96.3	4863	3421	3203	8575	1291	0	5517	3575	7924	3000348	40000	50000	896	115208	111855	3979868	3582889	2070	386375	285311	188304
1789627126	4292	94.6	94.2	10624	3249	3925	7438	2186	0	8748	3230	7728	3000175	39909	50000	1382	115633	112818	4019060	3627479	2067	388884	287057	188933
1789627159	4325	96.2	95.7	6442	2255	2717	9004	512	0	65215	3263	8116	3000002	40000	50000	1296	115986	113666	4040662	3672983	2107	391361	290245	190242
1789627187	4353	95.8	95.5	6441	3778	2129	6446	421	0	83895	3405	7929	3000061	40000	49816	985	116125	114485	4064406	3709561	2124	393687	292275	191173
1789627219	4384	95.0	94.2	6826	5303	3007	8273	598	0	53234	3356	8036	3000211	40000	50000	1301	116713	115373	4095889	3754053	2098	396144	293685	192201
1789627247	4413	95.1	94.6	5958	3629	2543	6719	960	0	36229	3358	8205	3000282	40000	49883	1183	117365	116303	4120544	3792723	2082	398459	295534	193557
1789627278	4444	93.4	93.1	5977	2209	1704	9017	532	0	29934	3579	8606	3000000	40000	50000	484	117765	117461	4139232	3848789	2086	401516	297208	195902
1789627311	4477	92.5	92.3	6267	2796	4171	9035	934	0	4108	3492	11155	3000011	40000	49952	1441	118228	118352	4162703	3889467	2065	405298	298720	197574
1789627339	4505	95.3	94.4	6144	4141	3683	10415	2192	0	5294	3308	7983	3000206	40000	50000	1135	118928	119076	4190750	3921635	2066	407627	300657	198616
1789627370	4535	95.7	95.7	10022	2796	4297	7923	879	0	5006	3404	7928	3000182	39986	49871	1438	119188	119966	4240566	3950980	2067	410374	302641	199344
1789627396	4562	96.1	95.6	8882	2558	3583	9217	1076	0	2881	3338	8043	2999595	39579	49990	1009	119774	120821	4267907	3980969	2065	412116	304123	201715
1789627428	4593	95.2	94.4	5708	2060	2107	7391	614	0	49453	3502	8471	3000080	40000	50000	916	120699	121724	4284354	4018931	2082	414990	307269	202363
1789627456	4622	95.3	94.9	11343	2757	2268	9424	792	0	53222	3560	8175	3000055	40000	49975	994	120888	122616	4312403	4063298	2096	417413	309059	203849
1789627487	4653	95.8	94.7	6869	3386	2371	7425	301	0	31958	3620	8645	3000034	40000	49956	1320	121453	123656	4337503	4110073	2079	419770	310637	205164
1789627520	4686	95.8	94.9	8161	1964	3022	9560	696	0	19855	3602	12193	2999868	39973	49990	1254	122018	124505	4357538	4152952	2069	423143	312643	207267
1789627550	4716	95.6	94.8	5320	3204	2961	7398	1224	0	20387	3486	8575	3000116	40000	49998	1113	122689	125221	4382172	4187682	2068	426411	314699	208843
1789627580	4746	95.0	94.7	7025	3919	2853	9221	1697	0	26501	3264	7959	3000002	40000	50000	848	123027	126073	4410159	4234947	2072	429022	316319	210092
1789627606	4772	95.1	94.7	6183	1535	2314	7375	326	0	45036	3401	4776	3000027	40000	50000	1286	123529	126708	4434749	4265736	2087	431237	318597	212318
1789627640	4805	95.6	95.1	7745	3474	1681	8894	79	0	75835	3487	8537	3000299	40000	50000	780	123890	127835	4466855	4317875	2123	433883	320895	212935
1789627668	4834	96.6	95.9	6515	5669	2177	7495	156	0	71588	3506	8083	3000017	40000	50000	1386	124443	128614	4489545	4351546	2105	436590	322919	213869
1789627704	4870	98.0	97.8	9674	3432	1798	9216	403	0	104286	3619	11812	3000003	40000	50000	708	124651	129554	4525700	4413170	2124	439247	324606	215220
1789627727	4892	93.3	92.5	6964	1890	2064	6598	545	0	57732	3267	4489	3000008	40000	50000	924	125380	130129	4541311	4458849	2096	441623	326165	216837
1789627757	4923	94.8	93.6	6233	3666	1786	7916	548	0	63517	3653	8581	3000149	40000	50000	825	125809	130979	4572141	4501822	2107	443703	327607	217957
1789627792	4957	94.7	94.3	7538	3238	1583	6851	217	0	118965	3684	11950	3000035	40000	50000	748	126355	131728	4597426	4554114	2146	446171	329476	219426
1789627817	4983	90.4	88.8	14150	4964	2938	8760	1578	0	11565	3751	4769	3000344	39870	49959	951	126966	132704	4619853	4599977	2094	448293	329758	220875
1789627851	5016	94.7	94.4	9274	2327	2283	7017	816	0	38590	3624	8503	3000394	40000	49995	807	127512	133792	4654587	4648046	2103	450596	331903	222265
1789627881	5047	94.6	94.3	6476	2534	1284	9269	279	0	96329	3575	8654	3000010	40000	49952	636	127942	134373	4686022	4681480	2143	453178	334447	223998
1789627910	5076	93.9	93.5	8005	6743	2805	7816	942	0	36567	3534	8182	3000199	40000	50000	939	128504	135679	4707173	4734239	2123	455643	335761	224594
1789627940	5106	94.7	94.1	6120	2421	1399	9865	163	0	84002	3591	8567	3000361	40000	50000	828	129225	136593	4730478	4783250	2140	458097	338045	226557
1789627973	5139	95.0	94.7	5835	5066	2378	6665	400	0	60652	3520	7927	3000043	40000	49871	1039	129777	137684	4775629	4818982	2137	460517	339600	227175
