ts	elapsed	proc_cpu_pct	main_cpu_pct	lag_max_ms	lag_p50_ms	dl_active	dl_slots	dl_transferring	scraper_queued	scraper_active_kb	gc_max_ms	gc_total_ms	frontier	pqueues	robots_cached	robots_inflight	dns_cached	crawled	discovered	dupe_skipped	rss_mb	requests	responses	exceptions
1789624367	1533	94.2	92.1	7373	2054	3208	7277	948	0	35384	2728	7196	1579706	39546	49983	1138	57322	41015	1762963	978852	1843	139436	106680	58967
1789624396	1562	95.0	94.4	6217	3614	2907	9194	1262	0	11584	2715	6838	1599105	39833	49959	1155	58155	41704	1803693	995886	1833	141690	107889	60863
1789624430	1596	94.3	93.9	6089	2107	1699	6957	461	0	35689	2568	7005	1623066	40000	50000	603	58848	42600	1836772	1022128	1844	144165	110409	62183
1789624457	1623	93.5	93.0	7507	2045	1818	8594	475	0	13499	2802	6745	1641992	39966	50000	877	59636	43329	1857351	1048242	1832	146496	112061	63305
1789624487	1652	93.1	91.4	5769	2304	3258	7124	1231	0	3772	2716	6982	1664652	39723	50000	940	60724	43913	1886315	1059949	1821	149864	113561	65303
1789624517	1683	94.8	93.8	7036	2351	3125	9094	817	0	13015	2839	7200	1685972	39572	49971	1327	61629	44530	1911407	1081155	1835	152327	115450	66867
1789624548	1713	94.1	93.6	5591	2168	3759	7895	735	0	18863	2758	7399	1705658	39545	49947	1540	62317	45260	1939897	1106828	1832	155592	117321	68487
1789624576	1742	94.3	92.7	6182	2257	2476	9439	634	0	37368	2943	7240	1724887	40000	50000	1232	63585	45751	1963053	1125135	1841	157942	119606	70646
1789624606	1772	94.3	93.9	4851	2753	3471	8066	766	0	30649	2689	6670	1744204	39726	50000	1517	64284	46400	2002987	1141280	1839	160943	121113	71983
1789624636	1801	94.0	93.2	8183	1823	2434	9596	991	0	18825	2706	6737	1765068	39726	50000	1098	65253	47171	2025695	1174257	1833	163219	122557	74419
1789624671	1837	95.1	94.6	8672	2679	2655	8029	992	0	40211	2664	9600	1788448	40000	50000	1002	66074	48003	2054815	1206291	1844	166313	125031	75800
1789624697	1863	94.4	93.8	6076	4732	3362	9901	1339	0	6986	2469	6185	1805245	39648	49898	1387	66811	48659	2080188	1224791	1826	168448	125812	77506
1789624729	1894	95.3	94.8	9035	2166	1852	7124	314	0	20886	2511	6742	1830402	40000	50000	765	67344	49670	2112600	1251993	1853	170947	128404	78702
1789624756	1922	93.7	92.3	4959	2195	2475	9772	834	0	20138	2768	7354	1842487	39987	50000	1045	68160	50321	2127609	1272478	1841	174187	130248	81017
1789624789	1955	95.3	94.0	5358	2031	3116	7932	938	0	20183	2794	9986	1858185	39989	49997	1307	69442	51236	2149032	1297918	1834	177255	132475	82439
1789624817	1983	95.2	94.4	4689	1604	2744	10117	1014	0	21562	2639	7316	1873318	40000	50000	1248	70257	52001	2169583	1313931	1831	180401	134702	84132
1789624847	2013	96.2	95.7	5702	1984	3017	8136	633	0	27813	2674	7291	1893463	39940	50000	1205	71049	52851	2196334	1335634	1838	183440	136780	85912
1789624877	2042	96.8	96.2	6241	2044	3536	10525	995	0	15892	2833	7325	1909439	39951	49968	1335	72010	53626	2217921	1365509	1842	186850	138767	87186
1789624910	2076	97.1	96.2	7241	1947	2430	8192	693	0	36045	2791	10301	1927208	40000	50000	1018	72981	54378	2242626	1389261	1841	189423	140968	89654
1789624939	2105	97.4	96.9	8195	2737	2133	9708	950	0	29615	2687	7084	1945290	40000	50000	873	73668	55241	2269702	1416971	1836	192000	142929	90840
1789624967	2133	96.6	95.3	4671	3093	3013	8051	1500	0	3830	3073	7551	1964753	40000	50000	1127	74541	55943	2295186	1438745	1830	195197	144614	92253
1789624997	2163	96.9	96.4	5172	2371	3145	9781	1097	0	21657	2772	7317	1980292	40000	49996	1048	75393	56702	2321718	1461906	1855	197882	146758	93667
1789625031	2197	97.6	97.2	6929	3469	2404	7090	711	0	39311	2798	9909	1998361	40000	50000	1219	76171	57589	2353135	1489665	1851	200317	149322	94890
1789625058	2224	97.0	96.7	5869	2151	1980	8851	259	0	48948	2918	7376	2010935	40000	50000	1219	76497	58233	2370364	1511349	1858	202765	151255	96255
1789625087	2253	96.0	95.3	7637	2371	3819	7112	416	0	2664	2939	7142	2029090	39290	49838	1253	77690	59242	2393639	1552691	1856	205525	152309	98577
1789625124	2290	93.1	92.7	8683	1377	1497	9294	297	0	74790	3175	11024	2045641	39666	50000	702	78483	59954	2412072	1581576	1910	209046	155434	100437
1789625147	2313	95.4	94.7	6284	4767	3233	6883	913	0	28628	2943	7087	2062513	39883	50000	1516	79361	60507	2429851	1594889	1875	211273	156621	101040
1789625178	2344	95.2	94.8	6784	2266	3880	9506	677	0	15656	3224	7623	2079839	39773	49969	1683	79857	61234	2454383	1635497	1865	215002	158336	103406
1789625205	2371	96.7	95.7	6503	2606	3971	7372	1958	0	8708	3023	7221	2094301	40000	50000	1470	80898	61819	2479733	1659580	1863	217723	160285	104905
1789625240	2406	95.7	95.4	7657	3997	3185	8863	1478	0	64525	3126	10711	2109292	40000	49717	1439	81435	62598	2510478	1692012	1903	220360	163144	105550
1789625267	2433	96.0	95.6	8213	1454	2420	7064	893	0	73103	3084	4536	2126405	39806	50000	1135	81906	63410	2540349	1729343	1921	222596	164858	107452
1789625302	2468	96.3	95.9	8082	4299	1805	8565	335	0	36016	3092	10582	2149311	40000	50000	1124	82369	64453	2575088	1768821	1904	224940	167325	108551
1789625331	2497	95.9	95.7	4644	2647	1639	6202	84	0	47791	2985	7213	2163901	40000	50000	812	82752	65296	2603316	1791632	1915	227193	168981	109337
1789625357	2523	93.7	93.0	8140	2238	1608	8202	556	0	17534	3372	4956	2179674	40000	50000	754	83559	66097	2623987	1818481	1909	230259	170612	111225
1789625386	2552	94.8	94.1	7283	3359	2508	7414	1312	0	3022	3148	10668	2191815	39637	49995	987	84509	66760	2641455	1836043	1889	233269	172041	113741
1789625417	2583	95.7	94.8	5426	2471	2969	9694	1181	0	31939	3100	8104	2207397	40000	50000	1361	85523	67537	2662394	1855925	1915	236639	174815	114789
1789625450	2616	94.0	93.5	5459	2143	2813	7823	893	0	10350	3207	11156	2222232	40000	50000	1314	86448	68502	2683673	1879792	1893	239474	176684	116958
1789625480	2646	94.9	93.8	5448	2524	1691	9545	560	0	28845	3223	7920	2233837	40000	50000	768	87027	69436	2705108	1912827	1899	242181	178892	118881
1789625505	2671	93.5	92.3	5026	2916	3155	7810	1386	0	1360	3179	7913	2243218	39969	49996	1006	87946	69990	2719461	1933478	1893	245189	180117	120631
1789625537	2703	95.0	94.6	6736	1728	2010	9846	751	0	41080	3369	8465	2258623	40000	50000	1043	88580	70667	2741051	1960824	1917	248016	182682	122633
1789625566	2732	92.8	92.3	7798	2802	3100	7828	1682	0	15247	3084	7820	2273325	40000	50000	1163	89306	71443	2764696	1987301	1909	251331	184362	123875
1789625597	2763	93.1	92.6	5129	4535	3030	9656	1457	0	17338	3113	7365	2292004	39803	50000	1039	90105	72271	2791623	2017680	1904	253887	186197	125609
1789625629	2795	94.8	94.4	5236	2901	2413	7435	532	0	14330	3091	7677	2313607	40000	50000	918	90483	73217	2820082	2055273	1914	256221	188159	127422
1789625661	2827	92.7	92.2	6097	3036	2706	9374	450	0	34751	3042	10216	2328064	40000	49983	1162	91204	73980	2842021	2085205	1920	258844	190065	129029
1789625686	2852	92.2	91.5	6177	2967	2760	7083	1338	0	10615	3226	7741	2337504	39560	50000	1189	92101	74535	2852788	2105130	1908	261641	191568	130628
1789625719	2885	93.6	93.2	7233	1647	2993	9742	1470	0	25967	3218	8314	2357404	39729	49998	1183	92422	75298	2878279	2128706	1924	264973	193525	132802
1789625746	2912	94.8	93.3	7433	1944	2991	8089	1037	0	17754	3536	8622	2370247	39920	49996	1418	93758	75776	2894793	2155270	1918	267427	194708	135535
1789625778	2944	96.6	96.3	6399	2932	1101	9146	235	0	35548	3231	7963	2387678	40000	50000	426	94158	76687	2927464	2186727	1937	269768	197185	136875
1789625806	2972	94.8	94.2	6925	2091	1650	7094	973	0	10617	3199	7734	2402047	40000	50000	411	94909	77358	2948911	2215194	1921	273122	199304	137845
1789625836	3002	94.9	94.2	5858	3841	2773	9531	1517	0	3093	3051	7831	2418797	39973	50000	903	95322	78145	2973327	2249964	1927	276154	201079	139445
1789625873	3039	96.4	96.1	7281	1310	1152	6815	185	0	51342	3099	11206	2433455	40000	50000	619	96051	79020	3002100	2290390	1948	278835	204483	140580
1789625900	3066	94.0	93.5	6160	4618	2598	8821	404	0	43153	3023	7354	2445406	40000	49978	1377	96696	79746	3023354	2320772	1955	281336	206425	141115
1789625928	3094	95.5	95.3	9289	1459	1580	6415	346	0	46951	3152	7592	2459083	40000	50000	1051	97019	80796	3045512	2358376	1960	283589	208458	142187
1789625959	3125	90.7	90.1	7188	3617	1318	7892	411	0	31625	3179	7965	2474330	40000	50000	577	97557	81727	3067348	2390353	1954	286395	210431	143181
1789625988	3153	93.9	93.0	7437	3256	3400	7245	2035	0	8848	3346	8291	2485137	39992	50000	1081	98276	82434	3086769	2412463	1946	290505	212533	144065
1789626020	3186	89.1	89.1	9727	5231	1065	7253	433	0	28397	3202	7161	2512911	40000	50000	341	98598	83413	3131083	2435441	1985	291101	214513	144598
1789626049	3215	89.4	88.5	6447	3112	2869	7034	1594	0	1830	3246	8260	2525129	39813	49818	1205	99560	84147	3149734	2456472	1957	294944	215906	147479
1789626078	3243	94.1	93.5	4927	1952	2213	8582	772	0	58108	3328	8161	2534439	40000	50000	1018	100339	84672	3161624	2472642	1991	297850	219178	147927
1789626106	3272	93.6	93.3	6154	3511	2704	7513	551	0	15735	3224	7822	2546651	40000	49956	1255	100796	85639	3185309	2504674	1964	300104	220314	149386
1789626137	3302	92.2	91.6	5748	2200	3017	10036	702	0	13903	3441	8310	2556083	39934	49996	1171	101652	86427	3198551	2539742	1968	303715	222384	151834
1789626173	3339	94.6	94.3	5799	3262	2270	7817	984	0	32581	3160	11181	2574833	40000	50000	857	102150	87311	3230716	2570852	1970	306436	224663	153236
1789626199	3365	92.1	91.2	6773	3144	2903	9959	1155	0	8869	3548	8061	2585189	39980	50000	1251	103053	87866	3242306	2594022	1959	309320	226342	155012
1789626231	3397	93.3	93.0	7642	2578	3163	7674	1058	0	23569	3077	7916	2600199	40000	49981	1306	103444	88615	3276294	2622853	1971	312441	228405	156939
1789626258	3424	94.9	93.6	4985	2779	2904	9361	1217	0	22940	3068	7694	2613541	40000	50000	1239	104127	89083	3294405	2640766	1961	314937	230147	158271
1789626288	3454	93.4	93.0	5864	2815	2336	7664	934	0	44483	3086	7959	2627253	40000	50000	1088	104529	89956	3317514	2680336	1974	317720	232292	160126
1789626318	3484	93.3	92.9	6281	4700	3197	9679	1160	0	45088	3018	7291	2640942	39954	49918	1644	104907	90685	3346873	2707608	1980	320518	234082	161296
1789626347	3513	94.4	94.1	5040	2250	2340	7243	537	0	56298	2773	7133	2653160	40000	50000	1312	105556	91290	3366283	2729784	1980	323362	236932	162303
1789626377	3543	92.5	92.1	8359	2063	3418	8713	30	0	21098	3143	7481	2674987	39804	49954	1524	106193	92279	3395113	2770048	1974	325487	237967	163769
1789626407	3573	93.7	92.9	5145	1502	2244	7358	1000	0	45370	3032	7967	2687032	40000	50000	777	107174	92928	3409559	2806526	1990	329172	240379	166615
1789626440	3606	93.0	92.6	6803	3874	3733	9476	1583	0	12360	2933	9915	2707293	40000	50000	1578	107701	93706	3437925	2835174	1962	331718	241561	167457
1789626470	3636	94.2	93.9	9010	1919	1694	7486	159	0	48704	3158	7628	2721117	40000	50000	1077	108110	94622	3457601	2886484	2002	334006	244674	169201
1789626499	3665	93.8	93.5	7908	2572	1436	8943	204	0	70188	2860	7086	2735498	40000	50000	917	108536	95494	3480177	2932460	2013	336457	246847	169890
1789626527	3693	92.8	92.7	7423	3291	2157	6866	80	0	42460	2849	6983	2748934	40000	50000	1150	108846	96194	3503772	2961871	1990	338943	248469	170382
1789626559	3725	92.2	91.8	6888	2432	3810	9873	803	0	11609	3435	10747	2760522	39864	49981	1436	109374	97178	3520368	3002904	1965	342941	250154	172193
1789626590	3755	94.0	93.4	7216	2707	3687	7436	2099	0	1957	3148	7583	2771624	39848	50000	1086	109704	97958	3541618	3028853	1962	345662	251979	173400
1789626617	3782	92.3	92.3	6807	2905	4260	9372	993	0	1750	2938	6832	2783911	39464	49941	1477	110246	99015	3560861	3064143	1962	348278	254059	174139
1789626645	3811	94.1	92.9	5398	3644	2932	7663	1513	0	12549	3186	7736	2794430	39494	49789	1336	111570	99722	3581655	3094496	1967	350111	255587	176907
1789626686	3851	95.1	94.8	12344	2310	1652	9194	748	0	69331	3136	11079	2818078	40000	50000	624	112090	100996	3623845	3129935	2004	353142	259021	177401
1789626706	3872	92.1	91.5	6057	2715	2076	6726	515	0	32297	2771	3904	2835297	40000	49988	1313	112638	101418	3644549	3143273	1980	355105	260514	178704
1789626740	3906	92.5	92.4	9597	3687	4448	8117	677	0	19990	3142	10535	2848125	40000	49843	1646	112895	102488	3673253	3177783	1969	358219	262577	179555
1789626766	3932	96.4	95.0	5589	3907	3082	6690	1152	0	5541	3184	7597	2858157	39968	49927	763	113451	103183	3689707	3210244	1964	361197	264211	180918
1789626797	3963	96.6	96.3	6552	1953	2720	8878	439	0	21962	3306	7987	2870558	40000	50000	1245	114074	104024	3707822	3249613	1971	363977	266599	182910
1789626827	3993	97.0	96.4	5702	4301	1913	7008	651	0	33835	3187	7939	2890621	40000	50000	652	114502	104939	3738390	3285846	1989	366268	268711	183682
1789626861	4027	95.0	94.5	5143	2964	2154	9282	12	0	31964	2923	10326	2903320	40000	49887	1563	115227	105951	3756208	3331392	1971	369054	271255	185070
1789626891	4057	96.2	95.6	7435	3316	1351	6019	338	0	73022	3077	7469	2919801	40000	50000	612	115472	106879	3790002	3363259	2030	371420	273220	185628
1789626919	4085	88.5	88.1	8301	3179	1901	7944	201	0	46247	2950	7059	2933452	40000	50000	1355	116059	107389	3815291	3387296	1985	373722	275315	186595
1789626950	4116	94.8	94.5	7249	3886	1400	5871	168	0	60595	3073	7380	2949474	40000	50000	953	116473	108386	3846452	3422438	2008	376193	277508	187254
1789626983	4148	94.8	94.6	8999	3528	1373	7539	60	0	92991	3033	7271	2971391	40000	50000	951	116845	109255	3883603	3456956	2034	378722	279757	187747
1789627012	4178	94.1	93.7	11374	2431	3085	6184	944	0	54946	3260	7314	2991095	40000	49599	1176	117296	110181	3909239	3494630	1997	381268	280679	188401
